ba:fb:e4:c5:b0:a5,ba:fb:e4:c4:af:1a,d8:0d:17:2c:67:7f,d8:0d:17:2c:67:7e,24:81:3b:50:c9:e2,54:48:e6:a3:93:23,b4:fb:e4:c5:b0:a5,ba:fb:e4:c5:bd:e3,b4:fb:e4:c4:bd:e3,24:81:3b:2b:99:e1,24:81:3b:2b:99:e2,ba:fb:e4:c4:b0:a5,24:81:3b:2b:99:e0,b4:fb:e4:c5:bd:e3,c4:e9:84:fa:fe:d2,24:81:3b:52:ec:61,24:81:3b:52:ec:62,24:81:3b:2b:99:ee,24:81:3b:2b:99:ef,2c:56:dc:da:3e:90,24:81:3b:52:ec:60,2c:56:dc:da:3e:91,24:81:3b:2b:99:ed,2c:56:dc:da:3e:94,2c:56:dc:da:3e:95,b4:fb:e4:c4:af:1a,b4:fb:e4:c4:b0:a5,ba:fb:e4:c4:bd:e3,24:81:3b:50:c9:e0,1e:e8:29:ee:72:33,54:48:e6:a3:93:22,14:dd:a9:97:a4:f8,ba:fb:e4:c4:d2:73,18:e8:29:ed:72:33,ba:fb:e4:c5:d2:73,24:81:3b:50:c9:e1,18:e8:29:ee:72:33,1e:e8:29:e4:3e:31,1e:e8:29:ed:72:33,32:cd:a7:c1:89:0d,34:60:f9:63:80:30,14:cc:20:2c:3d:42,b4:fb:e4:c4:d2:73,c0:25:5c:a3:84:f1,c0:25:5c:a3:84:f0,c0:25:5c:a3:c8:c0,c0:25:5c:a3:c8:c1,00:08:2f:33:a0:91,00:08:2f:33:a0:90,00:08:2f:33:a0:98,00:08:2f:33:a0:95,00:08:2f:33:a0:94,54:b8:0a:10:f6:42,10:b3:d6:07:cd:41,92:8c:c8:40:47:fb,12:e8:a7:a1:61:95,10:b3:d6:07:cd:42,10:b3:d6:07:cd:40,b4:fb:e4:c5:d2:73,ce:80:59:cd:76:6c,10:b3:d6:07:cd:60,10:b3:d6:07:cd:61,c0:25:5c:a3:c8:c2,14:dd:a9:97:ce:58,1e:e8:29:e4:35:72,c2:56:27:c2:67:83,0e:76:84:a5:21:cd,24:81:3b:50:c9:ef,b4:fb:e4:c5:af:1a,24:81:3b:50:c9:ed,24:81:3b:50:c9:ee,24:81:3b:52:ec:6e,24:81:3b:52:ec:6f,ba:fb:e4:c5:af:1a,24:81:3b:52:ec:6d,10:b3:d6:07:cd:62,b8:d4:bc:21:5b:99,34:60:f9:63:7e:de,x,y,theta
-52.0,,-42,-37.0,-71.0,-82.0,-52.0,-74.0,-64.0,,,-50.0,-62.0,-74.0,-42.0,-86.0,-85.0,-59.0,-59.0,,-86.0,-77.0,-59.0,,-87.0,,-51.0,-64.0,-71.0,,,-79.0,,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.571813935254664,1.43310757587103,4.910418043486953
-52.0,-82.0,-41,-39.0,,-79.0,-52.0,-76.0,-67.0,-56.0,-56.0,-56.0,-56.0,-77.0,-45.0,,-89.0,,,,-88.0,-75.0,,-90.0,-91.0,-84.0,-54.0,-66.0,-81.0,,-64.0,,,,,,,,,,,,,,,-94.0,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1101589669398968,1.328027205527693,4.443521153205849
-56.0,,-53,-68.0,-80.0,-74.0,-56.0,-74.0,-63.0,,-67.0,-50.0,-67.0,-74.0,,,,-72.0,-71.0,,,-86.0,-72.0,,,,-50.0,-61.0,,,,,,,,-81.0,,,,,,,,,,,,-92.0,-92.0,-92.0,-93.0,-93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5907926754430206,-5.662575875395301,2.262891896487967
-59.0,-84.0,-38,-48.0,,-82.0,-59.0,-78.0,-72.0,,,-46.0,,-78.0,-55.0,-84.0,,-66.0,-66.0,-74.0,-84.0,,-66.0,,-91.0,-86.0,-48.0,-66.0,,,-74.0,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.993492075330485,-2.092802523422456,1.5281850147985303
-78.0,-72.0,-57,-68.0,-87.0,,-78.0,-91.0,-79.0,,,-70.0,-70.0,-90.0,-47.0,,,-74.0,-74.0,-84.0,,,-74.0,-79.0,-78.0,,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1735314948353283,6.711613078954704,-1.0194080825584446
-79.0,-77.0,-57,-70.0,-86.0,,-79.0,-94.0,-78.0,-75.0,-75.0,-72.0,-75.0,-94.0,-52.0,,,-79.0,-79.0,,,,-79.0,-87.0,-87.0,-76.0,-69.0,-73.0,,,,,,,,-86.0,,,,,,,,,,,,,,,,,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,-2.941865257375568,6.708168540699193,1.227390927656672
-72.0,-68.0,-55,-56.0,-89.0,-94.0,-71.0,-86.0,-78.0,,-86.0,-67.0,-86.0,-86.0,-63.0,,-94.0,-73.0,-73.0,-78.0,,,-73.0,-87.0,-88.0,-66.0,-66.0,,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6969837406581237,3.924118477904736,3.4922891818433177
-62.0,,-40,-47.0,-72.0,-89.0,-62.0,-77.0,-64.0,-61.0,-61.0,-50.0,-61.0,-77.0,-51.0,-88.0,-88.0,,,,,-76.0,,-94.0,-94.0,,-46.0,-62.0,-72.0,,-76.0,-77.0,,,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5783522428319144,-0.9284666403127032,1.5367211802639882
-62.0,,-36,-48.0,-72.0,-90.0,-61.0,-82.0,,-55.0,-54.0,-62.0,-53.0,-82.0,-46.0,,,-63.0,-63.0,,,,-64.0,-88.0,-87.0,,-56.0,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.832497524859357,0.7779249170413816,1.91732318362354
-53.0,,-41,-45.0,,-85.0,-53.0,-77.0,-65.0,-69.0,-69.0,-56.0,-70.0,-78.0,-51.0,,,-59.0,-59.0,,-90.0,,-59.0,-81.0,-86.0,,-52.0,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3513949293571148,-0.1868805751582583,-0.3670802329909844
